pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
9enp-assembly1,B,C,protein,dna
9enp-assembly1,B,D,protein,dna
8d2l-assembly1,A,C,protein,dna
8d2l-assembly1,A,D,protein,dna
8d2l-assembly1,A,E,protein,dna
8d2m-assembly1,A,B,protein,dna
7y43-assembly1,A,B,protein,dna
7z5k-assembly1,A,C,protein,dna
7z5k-assembly1,A,D,protein,dna
8h7a-assembly1,A,C,protein,dna
8h7a-assembly1,A,D,protein,dna
8k4l-assembly1,A,C,protein,dna
8ipp-assembly1,A,B,dna,protein
8iyq-assembly1,A,B,protein,dna
8iyq-assembly1,A,D,protein,dna
8hcl-assembly1,A,E,dna,protein
8hcl-assembly1,B,E,dna,protein
9c3s-assembly1,A,E,protein,dna
9c3s-assembly1,A,F,protein,dna
9c3t-assembly1,A,E,protein,dna
9c3t-assembly1,A,F,protein,dna
8sln-assembly1,A,B,protein,dna
8ekv-assembly1,A,C,dna,protein
8ekv-assembly1,B,C,dna,protein
8ekz-assembly1,A,C,dna,protein
8ekz-assembly1,B,C,dna,protein
8eku-assembly1,A,C,dna,protein
8eku-assembly1,B,C,dna,protein
8ekj-assembly1,A,C,dna,protein
8eqg-assembly1,B,C,dna,protein
8p5q-assembly1,A,B,protein,dna
8p5q-assembly1,A,C,protein,dna
8h0l-assembly1,A,C,protein,dna
8h0l-assembly1,A,D,protein,dna
8e85-assembly1,A,C,protein,dna
8rkt-assembly1,B,D,dna,protein
8rkt-assembly1,C,F,dna,protein
8j0r-assembly1,A,C,protein,dna
8j0r-assembly1,A,D,protein,dna
8j0k-assembly1,A,C,protein,dna
8j0k-assembly1,A,D,protein,dna
8e66-assembly1,A,C,dna,protein
8e66-assembly1,B,C,dna,protein
8e67-assembly1,A,C,dna,protein
8e67-assembly1,B,C,dna,protein
8vf9-assembly1,A,B,protein,dna
8vf9-assembly1,A,C,protein,dna
8vfg-assembly1,A,D,protein,dna
8vfj-assembly1,A,B,protein,dna
8vfj-assembly1,A,C,protein,dna
8vf8-assembly1,A,C,protein,dna
8vff-assembly1,A,B,protein,dna
8vfg-assembly1,A,C,protein,dna
8vfg-assembly1,A,B,protein,dna
8vfe-assembly1,A,B,protein,dna
8vfd-assembly1,A,B,protein,dna
8vfc-assembly1,A,C,protein,dna
8kfr-assembly1,A,E,protein,dna
8ej6-assembly1,A,C,dna,protein
8ej6-assembly1,B,C,dna,protein
8wt6-assembly1,B,J,protein,dna
8wt6-assembly1,A,G,protein,dna
8wt6-assembly1,A,H,protein,dna
8wt6-assembly1,B,I,protein,dna
8rpx-assembly1,A,F,protein,dna
8rpx-assembly1,A,G,protein,dna
8bar-assembly1,A,B,protein,dna
8c8j-assembly1,A,B,protein,dna
8i6k-assembly1,A,B,protein,dna
7xvn-assembly1,A,C,protein,dna
7xvn-assembly1,A,D,protein,dna
7tr7-assembly1,A,C,protein,dna
8eb5-assembly1,A,C,protein,dna
8uvk-assembly1,A,C,protein,dna
8uvk-assembly1,A,D,protein,dna
8aan-assembly1,C,D,protein,dna
8urk-assembly1,A,B,protein,dna
8urk-assembly1,A,C,protein,dna
8u8l-assembly1,A,B,protein,dna
8u8l-assembly1,A,C,protein,dna
8ee9-assembly1,A,C,dna,protein
8ee9-assembly1,B,C,dna,protein
8j71-assembly1,A,C,protein,dna
8hig-assembly1,A,C,protein,dna
8hig-assembly1,A,D,protein,dna
7qw5-assembly1,A,B,protein,dna
7qw5-assembly1,A,C,protein,dna
8yfi-assembly1,A,B,protein,dna
8yfj-assembly1,A,B,protein,dna
8vmv-assembly1,A,E,dna,protein
8vmv-assembly1,B,F,dna,protein
8ac8-assembly1,A,D,protein,dna
8oet-assembly1,A,D,protein,dna
8cuc-assembly1,A,F,dna,protein
8cuc-assembly1,B,F,dna,protein
8q5o-assembly1,A,C,protein,dna
8q5o-assembly1,A,D,protein,dna
8eqk-assembly1,A,C,dna,protein
8eqk-assembly1,B,C,dna,protein
8eqg-assembly1,A,C,dna,protein
8e8a-assembly1,A,B,protein,dna
9bs2-assembly1,A,C,protein,dna
8ok9-assembly1,A,C,protein,dna
8ok9-assembly1,B,C,protein,dna
8e8d-assembly1,A,C,protein,dna
8e8e-assembly1,A,C,protein,dna
8e87-assembly1,A,B,protein,dna
8e85-assembly1,A,B,protein,dna
8xa9-assembly1,A,E,protein,dna
8xas-assembly1,A,I,protein,dna
8xas-assembly1,A,J,protein,dna
8pna-assembly1,A,B,dna,protein
8pna-assembly1,B,C,protein,dna
8pnc-assembly1,A,B,dna,protein
8pnc-assembly1,B,C,protein,dna
8uzt-assembly1,A,C,protein,dna
8u6x-assembly1,A,B,protein,dna
8u6x-assembly1,A,C,protein,dna
7ydz-assembly1,A,C,protein,dna
7ydw-assembly1,A,C,protein,dna
7ydw-assembly1,A,D,protein,dna
8k86-assembly1,A,C,protein,dna
8k86-assembly1,A,D,protein,dna
8k8c-assembly1,A,C,protein,dna
8k8c-assembly1,A,D,protein,dna
8k8a-assembly1,A,C,protein,dna
8k8d-assembly1,A,C,protein,dna
9ezz-assembly1,A,C,protein,dna
8pi8-assembly1,A,C,dna,protein
8pi8-assembly1,B,C,dna,protein
8u0p-assembly1,A,B,protein,dna
8u0o-assembly1,A,B-2,protein,dna
8u0o-assembly1,A,C-2,protein,dna
8yzs-assembly1,A,E,protein,dna
8x5v-assembly1,A,C,protein,dna
8x5v-assembly1,A,D,protein,dna
8cs0-assembly1,A,B,protein,dna
8cs0-assembly1,A,C,protein,dna
8c58-assembly1,A,B,protein,dna
8c59-assembly1,A,C,protein,dna
8c56-assembly1,A,B,protein,dna
8c59-assembly1,A,B,protein,dna
