pdb_id,chain_id,cluster_id,resolution,chain_num
8e5h-assembly1,A,1926,1.27,1
8eb9-assembly1,A,1943,1.28,1
8ec3-assembly1,A,1948,1.5,1
8eo5-assembly1,A,2031,1.8,1
8eov-assembly1,A,2037,1.59,1
8es6-assembly1,A,2061,1.9,1
8ev4-assembly1,A,2082,1.3,1
8ew1-assembly1,A,2089,1.8,1
8ew9-assembly1,A,2091,2.0,1
8ey3-assembly1,A,2104,1.0,1
8ez6-assembly1,A,2109,2.0,1
8ezw-assembly1,A,2115,2.0,1
8f8n-assembly1,A,2175,1.798,1
8f9o-assembly1,A,2181,1.25,1
8fbc-assembly1,A,2192,1.53,1
8jjq-assembly1,A,2199,1.64,1
8fib-assembly1,A,2229,1.68,1
8fjf-assembly1,A,2239,1.6,1
8fr5-assembly1,A,2277,1.33,1
8fty-assembly1,A,2295,1.95,1
8h2f-assembly1,A,2335,1.448,1
8fz8-assembly1,A,2344,1.43,1
8fz9-assembly1,A,2345,1.78,1
8g0n-assembly1,A,2366,1.14,1
8g1l-assembly1,A,2371,1.06,1
8g1y-assembly1,A,2374,1.43,1
8g32-assembly1,A,2381,1.85,1
8g52-assembly1,A,2395,1.88,1
8g53-assembly1,A,2396,1.03,1
8g5u-assembly1,A,2400,1.804,1
8g64-assembly1,A,2402,1.6,1
8gac-assembly1,A,2438,1.85,1
8gbe-assembly1,A,2447,1.46,1
8gdl-assembly1,A,2467,1.75,1
8gj9-assembly1,A,2496,1.6,1
8gjw-assembly1,A,2504,1.93,1
8gjy-assembly1,A,2505,1.5,1
8gkd-assembly1,A,2508,1.8,1
8gok-assembly1,A,2541,1.52,1
8gr7-assembly1,A,2559,1.9,1
8gsy-assembly1,A,2582,1.55,1
8gqq-assembly1,A,2584,1.069,1
8gtz-assembly1,A,2596,1.56,1
8q79-assembly1,A,2630,1.45,1
8h02-assembly1,A,2642,1.552,1
8h5s-assembly1,A,2692,1.7,1
8hbt-assembly1,A,2710,1.96,1
8hd2-assembly1,A,2756,1.6,1
8he1-assembly1,A,2763,1.61,1
8axs-assembly1,A,2834,1.3,1
8hnq-assembly1,A,2854,2.0,1
8hvd-assembly1,A,2916,1.41,1
7xhz-assembly1,A,2917,1.92,1
8hw8-assembly1,A,2922,1.57,1
8hxs-assembly1,A,2935,1.35,1
8ii8-assembly1,A,3084,1.25,1
8ikx-assembly1,A,3108,1.5,1
8ini-assembly1,A,3132,1.75,1
8iqc-assembly1,A,3154,2.0,1
8irq-assembly1,A,3167,1.49,1
8iym-assembly1,A,3205,2.0,1
8j2n-assembly1,A,3226,1.64,1
8j2x-assembly1,A,3227,1.98,1
8jb3-assembly1,A,3264,1.75,1
7wr2-assembly1,A,3266,1.54,1
8j8y-assembly1,A,3286,2.0,1
8j9r-assembly1,A,3293,1.65,1
8jdg-assembly1,A,3326,1.31,1
8jh8-assembly1,A,3354,1.55,1
8jiy-assembly1,A,3371,1.55,1
8jmy-assembly1,A,3401,1.56,1
8jn0-assembly1,A,3402,1.22826373091,1
8ju8-assembly1,A,3454,1.85,1
8jup-assembly1,A,3458,1.98,1
8jv2-assembly1,A,3460,1.3,1
8jws-assembly1,A,3472,2.0,1
8cjd-assembly1,A,3493,1.7,1
8k2g-assembly1,A,3542,1.75,1
8k2k-assembly1,A,3544,1.75,1
8k2m-assembly1,A,3545,1.65,1
8k4m-assembly1,A,3565,1.53,1
8k5j-assembly1,A,3576,1.3,1
8k7o-assembly1,A,3593,1.7,1
8k7x-assembly1,A,3596,1.75,1
8k7z-assembly1,A,3598,1.3,1
8k83-assembly1,A,3599,1.8,1
8k84-assembly1,A,3600,2.0,1
8kcj-assembly1,A,3606,1.45,1
8ka7-assembly1,A,3621,1.85,1
8kac-assembly1,A,3622,1.75,1
8kg4-assembly1,A,3624,1.2,1
8xrh-assembly1,A,3660,1.25,1
8khv-assembly1,A,3683,1.9,1
8kih-assembly1,A,3686,2.0,1
8ok3-assembly1,A,3742,1.5,1
8oqh-assembly1,A,3794,1.76,1
8ork-assembly1,A,3814,1.64,1
8os2-assembly1,A,3818,1.64,1
8owf-assembly1,A,3823,1.3,1
8osz-assembly1,A,3831,1.26,1
8ou1-assembly1,A,3845,1.7,1
8ovq-assembly1,A,3864,1.61,1
8ovu-assembly1,A,3867,1.95,1
8ow8-assembly1,A,3877,2.0,1
8oxk-assembly1,A,3894,1.37,1
8oxl-assembly1,A,3895,1.56,1
8oys-assembly1,A,3906,1.34,1
8oyy-assembly1,A,3910,1.85,1
8p0e-assembly1,A,3925,1.59,1
8p2a-assembly1,A,3943,2.0,1
8p5p-assembly1,A,3966,1.9,1
8p5n-assembly1,A,3974,1.5,1
7wu8-assembly1,A,3986,1.599,1
8pak-assembly1,A,3997,1.42,1
8paq-assembly1,A,3998,1.6,1
8pb5-assembly1,A,4002,0.89,1
8por-assembly1,A,4101,1.85,1
8ptd-assembly1,A,4126,1.6,1
8pu2-assembly1,A,4138,1.24,1
8pvs-assembly1,A,4147,1.68,1
8pw2-assembly1,A,4150,1.59,1
8pxc-assembly1,A,4163,1.973,1
8pxu-assembly1,A,4169,1.99,1
8q1v-assembly1,A,4186,1.4,1
8qb1-assembly1,A,4251,1.6,1
8qd8-assembly1,A,4268,1.65,1
8qjp-assembly1,A,4319,1.2,1
8qkd-assembly1,A,4326,1.9,1
8qlc-assembly1,A,4335,1.8,1
8qoh-assembly1,A,4357,1.95,1
8qpj-assembly1,A,4367,1.75,1
8qq1-assembly1,A,4372,1.941,1
8qle-assembly1,A,4381,1.664,1
8qup-assembly1,A,4397,1.3,1
8qx6-assembly1,A,4410,1.9,1
8r2c-assembly1,A,4442,1.79,1
8r5n-assembly1,A,4465,1.812,1
8ra0-assembly1,A,4490,1.89,1
8rcw-assembly1,A,4495,1.692,1
8rdd-assembly1,A,4500,1.8,1
8re3-assembly1,A,4507,1.51,1
8rom-assembly1,A,4556,1.69,1
8an4-assembly1,A,4569,1.65,1
8qnf-assembly1,A,4600,1.65,1
8s5b-assembly1,A,4615,1.8,1
8s9l-assembly1,A,4633,1.85,1
8sot-assembly1,A,4746,1.99,1
8spc-assembly1,A,4755,1.871,1
8suc-assembly1,A,4793,1.4,1
8sv7-assembly1,A,4805,1.53,1
8sx0-assembly1,A,4820,1.65,1
8sxs-assembly1,A,4829,1.57,1
8gm7-assembly1,A,4835,1.75,1
8t27-assembly1,A,4873,1.41,1
8t2j-assembly1,A,4876,1.8,1
8t41-assembly1,A,4884,1.2,1
8t4c-assembly1,A,4889,1.5,1
8t5t-assembly1,A,4901,1.8,1
8t8k-assembly1,A,4916,1.88,1
8t93-assembly1,A,4919,1.95,1
8t9n-assembly1,A,4923,1.9,1
8te9-assembly1,A,4927,1.25,1
8tfo-assembly1,A,4966,2.0,1
8tfs-assembly1,A,4968,1.95,1
8hic-assembly1,A,4970,1.6,1
8ti5-assembly1,A,4994,1.15,1
8tjg-assembly1,A,5000,1.45,1
8tru-assembly1,A,5062,1.9,1
8tse-assembly1,A,5069,1.25,1
8tuk-assembly1,A,5085,1.15,1
8tw1-assembly1,A,5100,1.27,1
8tyh-assembly1,A,5127,1.83,1
8u0i-assembly1,A,5153,1.54,1
8u0x-assembly1,A,5161,1.86,1
8u2f-assembly1,A,5178,2.0,1
8ubs-assembly1,A,5226,1.95,1
8uds-assembly1,A,5252,1.5,1
8tls-assembly1,A,5274,1.7,1
8ujw-assembly1,A,5292,1.72,1
8uk7-assembly1,A,5294,1.8,1
8upi-assembly1,A,5322,1.55,1
8ux2-assembly1,A,5372,1.87,1
8uxt-assembly1,A,5375,1.77,1
8v3m-assembly1,A,5405,1.8,1
8v6t-assembly1,A,5418,1.98,1
8vc8-assembly1,A,5443,1.8,1
8vcw-assembly1,A,5447,1.35,1
8vh7-assembly1,A,5466,1.982,1
8vpo-assembly1,A,5506,1.66,1
8vqk-assembly1,A,5515,1.95,1
8w6v-assembly1,A,5599,1.8,1
8w7p-assembly1,A,5607,1.8,1
8wac-assembly1,A,5626,1.5,1
8wae-assembly1,A,5627,1.75,1
8wc1-assembly1,A,5636,1.3,1
8wcf-assembly1,A,5638,1.299,1
8whj-assembly1,A,5681,1.4,1
8whn-assembly1,A,5687,1.95,1
8wik-assembly1,A,5691,2.0,1
8wj5-assembly1,A,5695,2.0,1
8kbl-assembly1,A,5697,1.98,1
8wnj-assembly1,A,5728,1.78,1
8wrx-assembly1,A,5749,1.45,1
8wt3-assembly1,A,5758,1.13,1
8wim-assembly1,A,5768,1.84,1
8x7c-assembly1,A,5842,1.597,1
8xf9-assembly1,A,5884,1.15,1
8xif-assembly1,A,5903,1.39,1
8xjg-assembly1,A,5910,1.7,1
8xpk-assembly1,A,5926,2.0,1
8y9p-assembly1,A,5983,1.64,1
8ye0-assembly1,A,5992,1.94,1
8wqn-assembly1,A,6025,1.8,1
8yxk-assembly1,A,6068,1.87,1
8z4q-assembly1,A,6084,1.68,1
8hel-assembly1,A,6102,1.33,1
8zqf-assembly1,A,6130,1.5,1
9aue-assembly1,A,6153,1.45,1
9azz-assembly1,A,6169,2.0,1
9b1u-assembly1,A,6175,1.46,1
9b8e-assembly1,A,6182,1.4,1
9bks-assembly1,A,6234,1.17,1
9bjx-assembly1,A,6237,1.6,1
9cfj-assembly1,A,6307,1.44,1
9crn-assembly1,A,6331,1.96,1
9d91-assembly1,A,6347,1.62,1
9etn-assembly1,A,6386,1.582,1
9evq-assembly1,A,6415,1.63,1
9fce-assembly1,A,6428,1.95,1
9fgp-assembly1,A,6436,1.49,1
9f9u-assembly1,A,6443,1.68,1
9fow-assembly1,A,6452,1.878,1
9fym-assembly1,A,6476,1.34,1
9gso-assembly1,A,6492,1.615,1
9ijc-assembly1,A,6508,1.52,1
9iuh-assembly1,A,6513,1.7,1
9j0v-assembly1,A,6527,1.79,1
9jq9-assembly1,A,6551,1.9,1
