pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2,interface_chain_cluster_id_1,interface_chain_cluster_id_2,interface_cluster_id,resolution,chain_num
8pmv-assembly1,A,B,protein,dna,protein_4083,dna_487,2311,2.1,3
8pmv-assembly1,A,C,protein,dna,protein_4083,dna_488,2312,2.1,3
8pmf-assembly1,A,C,dna,protein,dna_489,protein_4083,2315,0.95,3
8pmf-assembly1,B,C,dna,protein,dna_490,protein_4083,2316,0.95,3
8pm7-assembly1,A,I,dna,protein,dna_491,protein_4083,2318,1.7,3
8pm7-assembly1,B,I,dna,protein,dna_492,protein_4083,2319,1.7,3
8z2n-assembly1,A,B,protein,dna,protein_6082,dna_493,2326,2.3,4
8z2n-assembly1,A,C,protein,dna,protein_6082,dna_494,2327,2.3,4
8qmb-assembly1,A,C,protein,dna,protein_1476,dna_495,2335,1.997,6
8qmb-assembly1,A,D,protein,dna,protein_1476,dna_496,2336,1.997,6
8qmb-assembly1,A,F,protein,dna,protein_1476,dna_497,2337,1.997,6
8qmb-assembly1,B,E,protein,dna,protein_1476,dna_498,2338,1.997,6
8f69-assembly1,A,C-2,protein,dna,protein_1738,dna_523,2450,2.2,4
9f0e-assembly1,A,C,protein,dna,protein_6399,dna_552,2513,1.85,4
9cih-assembly1,A,B,protein,dna,protein_5291,dna_562,2610,2.15,3
9ci9-assembly1,A,C,protein,dna,protein_5291,dna_563,2611,2.09,3
9ci9-assembly1,A,B,protein,dna,protein_5291,dna_564,2619,2.09,3
9bdw-assembly1,A-2,C,protein,dna,protein_5216,dna_576,2645,1.87,4
9bdw-assembly1,A-2,D,protein,dna,protein_5216,dna_577,2646,1.87,4
9bdu-assembly1,A,C,protein,dna,protein_5216,dna_580,2652,2.03,4
9bdu-assembly1,A,D,protein,dna,protein_5216,dna_581,2653,2.03,4
9bdv-assembly1,A,C,protein,dna,protein_5216,dna_582,2655,1.9,4
9bdv-assembly1,A,D,protein,dna,protein_5216,dna_583,2656,1.9,4
8ik5-assembly1,A,C,dna,protein,dna_613,protein_3119,2779,1.989,3
8ik5-assembly1,B,C,dna,protein,dna_614,protein_3119,2780,1.989,3
8oya-assembly1,A,C,protein,dna,protein_3703,dna_630,2883,2.18,3
7yc7-assembly1,A,D,protein,dna,protein_3703,dna_631,2884,1.95,3
8eml-assembly1,A,B,protein,dna,protein_1419,dna_661,2976,2.21,3
8eml-assembly1,A,C,protein,dna,protein_1419,dna_662,2977,2.21,3
8em9-assembly1,A,C,dna,protein,dna_663,protein_4719,2983,2.341,3
8em9-assembly1,B,C,dna,protein,dna_664,protein_4719,2984,2.341,3
7uyp-assembly1,A,B,protein,dna,protein_272,dna_665,2986,1.5,6
7uyp-assembly1,A,C,protein,dna,protein_272,dna_666,2987,1.5,6
7uyn-assembly1,A,B,protein,dna,protein_272,dna_667,2991,1.65,6
7uyn-assembly1,A,C,protein,dna,protein_272,dna_668,2992,1.65,6
7uyo-assembly1,A,C,protein,dna,protein_272,dna_669,2997,1.65,6
8vzm-assembly1,A,C,protein,dna,protein_5560,dna_671,3005,2.5,4
8vdn-assembly1,A,D,protein,dna,protein_5560,dna_673,3008,2.39,4
8vdh-assembly1,A,C,dna,protein,dna_674,protein_4719,3011,1.64,3
8vdh-assembly1,B,C,dna,protein,dna_675,protein_4719,3012,1.64,3
8vdn-assembly1,A,B,protein,dna,protein_5560,dna_676,3013,2.39,4
8vdn-assembly1,A,C,protein,dna,protein_5560,dna_677,3014,2.39,4
8e4h-assembly1,A,C,dna,protein,dna_678,protein_4719,3025,1.39,3
8e4h-assembly1,B,C,dna,protein,dna_679,protein_4719,3026,1.39,3
8jkk-assembly1,A,B,protein,dna,protein_3381,dna_691,3050,2.3,3
8jkk-assembly1,A,C,protein,dna,protein_3381,dna_692,3051,2.3,3
8vzm-assembly1,A,B,protein,dna,protein_5560,dna_709,3174,2.5,4
8th9-assembly1,A,B,protein,dna,protein_4985,dna_720,3215,2.08,3
8th9-assembly1,A,C,protein,dna,protein_4985,dna_721,3216,2.08,3
8ebh-assembly1,A,C,dna,protein,dna_725,protein_4719,3251,1.33,3
8ebh-assembly1,B,C,dna,protein,dna_726,protein_4719,3252,1.33,3
8yrs-assembly1,A,C,protein,dna,protein_6052,dna_727,3282,2.43,6
8oja-assembly1,A,C,protein,dna,protein_3734,dna_733,3297,1.87,4
8oja-assembly1,A,D,protein,dna,protein_3734,dna_734,3298,1.87,4
8oj6-assembly1,A,C,protein,dna,protein_3734,dna_735,3301,2.41,4
8oj6-assembly1,A,D,protein,dna,protein_3734,dna_736,3302,2.41,4
8oj6-assembly1,B,C,protein,dna,protein_3733,dna_735,3303,2.41,4
8oj6-assembly1,B,D,protein,dna,protein_3733,dna_736,3304,2.41,4
8oja-assembly1,B,C,protein,dna,protein_3733,dna_733,3309,1.87,4
8oja-assembly1,B,D,protein,dna,protein_3733,dna_734,3310,1.87,4
8oj7-assembly1,A,C,protein,dna,protein_3734,dna_737,3311,2.46,4
8oj7-assembly1,A,D,protein,dna,protein_3734,dna_738,3312,2.46,4
8oj7-assembly1,B,C,protein,dna,protein_3733,dna_737,3313,2.46,4
8oj7-assembly1,B,D,protein,dna,protein_3733,dna_738,3314,2.46,4
8t9u-assembly1,A,C,dna,protein,dna_749,protein_4719,3383,1.47,3
8gn4-assembly1,A,B,protein,dna,protein_2529,dna_755,3409,1.9,3
8gn4-assembly1,A,C,protein,dna,protein_2529,dna_756,3410,1.9,3
8gn3-assembly1,A,C,protein,dna,protein_2529,dna_759,3415,1.8,3
8gn3-assembly1,A,D,protein,dna,protein_2529,dna_760,3416,1.8,3
7yek-assembly1,A,C,protein,dna,protein_3703,dna_762,3444,2.4,3
7ycm-assembly1,A,C,protein,dna,protein_3703,dna_763,3447,2.0,3
8yey-assembly1,A,B,protein,dna,protein_5999,dna_764,3451,2.0,4
7yc7-assembly1,A,C,protein,dna,protein_3703,dna_766,3454,1.95,3
8ilg-assembly1,A,B,protein,dna,protein_3115,dna_779,3494,1.8,3
8ild-assembly1,A,C,protein,dna,protein_3115,dna_782,3500,2.0,4
8ilh-assembly1,A,E,protein,dna,protein_3115,dna_783,3503,2.1,4
8ilf-assembly1,A,C,protein,dna,protein_3115,dna_784,3508,2.3,6
8yxw-assembly1,A,B,protein,dna,protein_5999,dna_790,3532,2.1,4
8yxw-assembly1,C,D,protein,dna,protein_5999,dna_791,3534,2.1,4
8v7g-assembly1,A,B,protein,dna,protein_5291,dna_792,3535,1.52,3
8v7g-assembly1,A,C,protein,dna,protein_5291,dna_793,3536,1.52,3
8v7b-assembly1,A,B,protein,dna,protein_5291,dna_794,3541,1.69,3
8b6k-assembly1,A,B,protein,dna,protein_1180,dna_807,3596,2.5,3
8b6k-assembly1,A,C,protein,dna,protein_1180,dna_808,3597,2.5,3
7mxv-assembly1,A,B,protein,dna,protein_29,dna_823,3664,2.211,3
7mxv-assembly1,A,C,protein,dna,protein_29,dna_826,3670,2.211,3
8a0w-assembly1,A,C,protein,dna,protein_902,dna_829,3675,2.334,4
8a0w-assembly1,A,D,protein,dna,protein_902,dna_830,3676,2.334,4
8rzv-assembly1,A,B,protein,dna,protein_6413,dna_833,3699,1.51,2
9bs2-assembly1,A,B,protein,dna,protein_6249,dna_389,3708,1.51,3
8dwe-assembly1,A,C,protein,dna,protein_6249,dna_836,3709,2.2,3
8dwd-assembly1,A,C,protein,dna,protein_6249,dna_390,3712,1.68,3
9enq-assembly1,A,B,protein,dna,protein_3734,dna_851,3804,2.12,3
9enp-assembly1,A,D,protein,dna,protein_3734,dna_852,3806,2.12,4
9enp-assembly1,B,C,protein,dna,protein_3733,dna_851,3807,2.12,4
9enp-assembly1,B,D,protein,dna,protein_3733,dna_852,3808,2.12,4
8d2l-assembly1,A,C,protein,dna,protein_1730,dna_869,3870,2.21,6
8d2l-assembly1,A,D,protein,dna,protein_1730,dna_871,3881,2.21,6
8d2l-assembly1,A,E,protein,dna,protein_1730,dna_875,3890,2.21,6
8d2m-assembly1,A,B,protein,dna,protein_1729,dna_876,3897,1.821,2
7y43-assembly1,A,B,protein,dna,protein_556,dna_885,3938,1.5,3
7z5k-assembly1,A,C,protein,dna,protein_780,dna_893,3993,2.28,4
7z5k-assembly1,A,D,protein,dna,protein_780,dna_894,3994,2.28,4
8h7a-assembly1,A,C,protein,dna,protein_556,dna_900,4036,1.92,4
8h7a-assembly1,A,D,protein,dna,protein_556,dna_901,4037,1.92,4
8k4l-assembly1,A,C,protein,dna,protein_3564,dna_904,4115,2.1,4
8ipp-assembly1,A,B,dna,protein,dna_910,protein_4332,4149,2.007,2
8iyq-assembly1,A,B,protein,dna,protein_3206,dna_924,4220,2.46,4
8iyq-assembly1,A,D,protein,dna,protein_3206,dna_925,4221,2.46,4
8hcl-assembly1,A,E,dna,protein,dna_944,protein_3382,4289,1.99,3
8hcl-assembly1,B,E,dna,protein,dna_945,protein_3382,4290,1.99,3
9c3s-assembly1,A,E,protein,dna,protein_6272,dna_949,4328,2.16,6
9c3s-assembly1,A,F,protein,dna,protein_6272,dna_950,4329,2.16,6
9c3t-assembly1,A,E,protein,dna,protein_6272,dna_953,4337,2.37,6
9c3t-assembly1,A,F,protein,dna,protein_6272,dna_954,4338,2.37,6
8sln-assembly1,A,B,protein,dna,protein_4707,dna_966,4392,2.2,4
8ekv-assembly1,A,C,dna,protein,dna_969,protein_4719,4406,1.62,3
8ekv-assembly1,B,C,dna,protein,dna_970,protein_4719,4407,1.62,3
8ekz-assembly1,A,C,dna,protein,dna_971,protein_4719,4409,1.42,3
8ekz-assembly1,B,C,dna,protein,dna_972,protein_4719,4410,1.42,3
8eku-assembly1,A,C,dna,protein,dna_973,protein_4719,4413,1.52,3
8eku-assembly1,B,C,dna,protein,dna_974,protein_4719,4414,1.52,3
8ekj-assembly1,A,C,dna,protein,dna_975,protein_4719,4418,1.54,3
8eqg-assembly1,B,C,dna,protein,dna_976,protein_4719,4419,1.39,3
8p5q-assembly1,A,B,protein,dna,protein_3967,dna_1011,4564,2.14,3
8p5q-assembly1,A,C,protein,dna,protein_3967,dna_1012,4565,2.14,3
8h0l-assembly1,A,C,protein,dna,protein_2650,dna_1019,4625,1.8,3
8h0l-assembly1,A,D,protein,dna,protein_2650,dna_1020,4626,1.8,3
8e85-assembly1,A,C,protein,dna,protein_5291,dna_1025,4688,1.72,3
8rkt-assembly1,B,D,dna,protein,dna_1029,protein_1109,4726,2.35,6
8rkt-assembly1,C,F,dna,protein,dna_1030,protein_4545,4727,2.35,6
8j0r-assembly1,A,C,protein,dna,protein_3218,dna_1036,4759,2.1,4
8j0r-assembly1,A,D,protein,dna,protein_3218,dna_1037,4760,2.1,4
8j0k-assembly1,A,C,protein,dna,protein_3218,dna_1038,4765,2.1,4
8j0k-assembly1,A,D,protein,dna,protein_3218,dna_1039,4766,2.1,4
8e66-assembly1,A,C,dna,protein,dna_1045,protein_1423,4789,2.35,3
8e66-assembly1,B,C,dna,protein,dna_1046,protein_1423,4790,2.35,3
8e67-assembly1,A,C,dna,protein,dna_1047,protein_1423,4792,2.3,3
8e67-assembly1,B,C,dna,protein,dna_1048,protein_1423,4793,2.3,3
8vf9-assembly1,A,B,protein,dna,protein_5459,dna_1049,4796,1.9,4
8vf9-assembly1,A,C,protein,dna,protein_5459,dna_1050,4798,1.9,4
8vfg-assembly1,A,D,protein,dna,protein_5459,dna_1051,4800,1.54,4
8vfj-assembly1,A,B,protein,dna,protein_5459,dna_1052,4806,2.14,4
8vfj-assembly1,A,C,protein,dna,protein_5459,dna_1053,4807,2.14,4
8vf8-assembly1,A,C,protein,dna,protein_5459,dna_447,4811,1.98,4
8vff-assembly1,A,B,protein,dna,protein_5459,dna_1054,4813,1.69,4
8vfg-assembly1,A,C,protein,dna,protein_5459,dna_1055,4814,1.54,4
8vfg-assembly1,A,B,protein,dna,protein_5459,dna_1056,4819,1.54,4
8vfe-assembly1,A,B,protein,dna,protein_5459,dna_1057,4823,2.09,4
8vfd-assembly1,A,B,protein,dna,protein_5459,dna_1058,4827,2.1,4
8vfc-assembly1,A,C,protein,dna,protein_5459,dna_1059,4830,2.48,4
8kfr-assembly1,A,E,protein,dna,protein_3653,dna_1063,4845,2.1,5
8ej6-assembly1,A,C,dna,protein,dna_1071,protein_4719,4886,1.39,3
8ej6-assembly1,B,C,dna,protein,dna_1072,protein_4719,4887,1.39,3
8wt6-assembly1,B,J,protein,dna,protein_5759,dna_1083,4927,2.5,10
8wt6-assembly1,A,G,protein,dna,protein_5759,dna_1088,4956,2.5,10
8wt6-assembly1,A,H,protein,dna,protein_5759,dna_1089,4957,2.5,10
8wt6-assembly1,B,I,protein,dna,protein_5759,dna_1090,4958,2.5,10
8rpx-assembly1,A,F,protein,dna,protein_4563,dna_1101,5045,1.81,4
8rpx-assembly1,A,G,protein,dna,protein_4563,dna_1102,5046,1.81,4
8bar-assembly1,A,B,protein,dna,protein_1211,dna_1129,5200,1.63,2
8c8j-assembly1,A,B,protein,dna,protein_1521,dna_1132,5224,2.1,3
8i6k-assembly1,A,B,protein,dna,protein_5840,dna_1145,5326,2.4,3
7xvn-assembly1,A,C,protein,dna,protein_509,dna_376,5335,2.302,4
7xvn-assembly1,A,D,protein,dna,protein_509,dna_377,5336,2.302,4
7tr7-assembly1,A,C,protein,dna,protein_3070,dna_1149,5359,2.0,2
8eb5-assembly1,A,C,protein,dna,protein_1942,dna_1161,5418,2.5,6
8uvk-assembly1,A,C,protein,dna,protein_5359,dna_1236,5681,2.21,4
8uvk-assembly1,A,D,protein,dna,protein_5359,dna_1237,5682,2.21,4
8aan-assembly1,C,D,protein,dna,protein_270,dna_1245,5701,2.19,4
8urk-assembly1,A,B,protein,dna,protein_6272,dna_1268,5770,2.11,6
8urk-assembly1,A,C,protein,dna,protein_6272,dna_1269,5771,2.11,6
8u8l-assembly1,A,B,protein,dna,protein_5212,dna_1290,5829,2.2,4
8u8l-assembly1,A,C,protein,dna,protein_5212,dna_1291,5830,2.2,4
8ee9-assembly1,A,C,dna,protein,dna_1295,protein_4719,5876,1.22,3
8ee9-assembly1,B,C,dna,protein,dna_1296,protein_4719,5877,1.22,3
8j71-assembly1,A,C,protein,dna,protein_3271,dna_1302,5937,1.85,4
8hig-assembly1,A,C,protein,dna,protein_2805,dna_1140,5991,2.329,4
8hig-assembly1,A,D,protein,dna,protein_2805,dna_1141,5992,2.329,4
7qw5-assembly1,A,B,protein,dna,protein_85,dna_1335,6089,2.3,3
7qw5-assembly1,A,C,protein,dna,protein_85,dna_1336,6090,2.3,3
8yfi-assembly1,A,B,protein,dna,protein_5999,dna_1341,6115,2.02,4
8yfj-assembly1,A,B,protein,dna,protein_5999,dna_1342,6122,1.84,4
8vmv-assembly1,A,E,dna,protein,dna_1349,protein_5498,6153,1.59,6
8vmv-assembly1,B,F,dna,protein,dna_1350,protein_5498,6155,1.59,6
8ac8-assembly1,A,D,protein,dna,protein_270,dna_1375,6250,1.6,2
8oet-assembly1,A,D,protein,dna,protein_3703,dna_1376,6260,2.11,3
8cuc-assembly1,A,F,dna,protein,dna_1378,protein_1699,6282,2.09,4
8cuc-assembly1,B,F,dna,protein,dna_1379,protein_1699,6283,2.09,4
8q5o-assembly1,A,C,protein,dna,protein_4210,dna_1380,6285,2.33,4
8q5o-assembly1,A,D,protein,dna,protein_4210,dna_1381,6286,2.33,4
8eqk-assembly1,A,C,dna,protein,dna_1383,protein_4719,6300,1.45,3
8eqk-assembly1,B,C,dna,protein,dna_1384,protein_4719,6301,1.45,3
8eqg-assembly1,A,C,dna,protein,dna_1385,protein_4719,6305,1.39,3
8e8a-assembly1,A,B,protein,dna,protein_5291,dna_1392,6336,1.8,3
9bs2-assembly1,A,C,protein,dna,protein_6249,dna_1393,6345,1.51,3
8ok9-assembly1,A,C,protein,dna,protein_4148,dna_1397,6361,2.5,4
8ok9-assembly1,B,C,protein,dna,protein_4297,dna_1397,6362,2.5,4
8e8d-assembly1,A,C,protein,dna,protein_5291,dna_1410,6431,2.09,3
8e8e-assembly1,A,C,protein,dna,protein_5291,dna_1411,6438,2.05,3
8e87-assembly1,A,B,protein,dna,protein_5291,dna_1412,6441,2.19,3
8e85-assembly1,A,B,protein,dna,protein_5291,dna_1413,6445,1.72,3
8xa9-assembly1,A,E,protein,dna,protein_5862,dna_1417,6458,2.32,3
8xas-assembly1,A,I,protein,dna,protein_5867,dna_1418,6460,2.346,10
8xas-assembly1,A,J,protein,dna,protein_5867,dna_1419,6461,2.346,10
8pna-assembly1,A,B,dna,protein,dna_1432,protein_4083,6537,1.45,3
8pna-assembly1,B,C,protein,dna,protein_4083,dna_1433,6539,1.45,3
8pnc-assembly1,A,B,dna,protein,dna_1435,protein_4083,6553,2.05,3
8pnc-assembly1,B,C,protein,dna,protein_4083,dna_1436,6555,2.05,3
8uzt-assembly1,A,C,protein,dna,protein_5380,dna_1242,6577,1.9,5
8u6x-assembly1,A,B,protein,dna,protein_5204,dna_1446,6629,2.44,3
8u6x-assembly1,A,C,protein,dna,protein_5204,dna_1447,6630,2.44,3
7ydz-assembly1,A,C,protein,dna,protein_3703,dna_1477,6758,2.23,3
7ydw-assembly1,A,C,protein,dna,protein_614,dna_648,6762,2.47,6
7ydw-assembly1,A,D,protein,dna,protein_614,dna_649,6763,2.47,6
8k86-assembly1,A,C,protein,dna,protein_3601,dna_1481,6807,2.06,4
8k86-assembly1,A,D,protein,dna,protein_3601,dna_1482,6808,2.06,4
8k8c-assembly1,A,C,protein,dna,protein_3603,dna_1483,6810,2.06,4
8k8c-assembly1,A,D,protein,dna,protein_3603,dna_1484,6811,2.06,4
8k8a-assembly1,A,C,protein,dna,protein_3601,dna_1485,6813,2.06,4
8k8d-assembly1,A,C,protein,dna,protein_3604,dna_1485,6824,2.2,4
9ezz-assembly1,A,C,protein,dna,protein_6399,dna_1493,6853,1.95,4
8pi8-assembly1,A,C,dna,protein,dna_1495,protein_4045,6864,2.3,4
8pi8-assembly1,B,C,dna,protein,dna_1496,protein_4045,6865,2.3,4
8u0p-assembly1,A,B,protein,dna,protein_5156,dna_1506,6884,1.9,4
8u0o-assembly1,A,B-2,protein,dna,protein_5156,dna_1508,6891,2.05,3
8u0o-assembly1,A,C-2,protein,dna,protein_5156,dna_1509,6892,2.05,3
8yzs-assembly1,A,E,protein,dna,protein_6076,dna_1531,6988,2.3,3
8x5v-assembly1,A,C,protein,dna,protein_5835,dna_1539,7010,2.0,4
8x5v-assembly1,A,D,protein,dna,protein_5835,dna_1540,7011,2.0,4
8cs0-assembly1,A,B,protein,dna,protein_272,dna_1107,7057,1.65,6
8cs0-assembly1,A,C,protein,dna,protein_272,dna_1108,7058,1.65,6
8c58-assembly1,A,B,protein,dna,protein_1490,dna_1561,7157,1.85,3
8c59-assembly1,A,C,protein,dna,protein_1490,dna_1562,7158,1.7,3
8c56-assembly1,A,B,protein,dna,protein_1490,dna_1564,7171,2.4,3
8c59-assembly1,A,B,protein,dna,protein_1490,dna_1565,7174,1.7,3
